id,median_house_value
17001.0,300001 - 350000
17002.0,150001 - 200000
17003.0,250001 - 300000
17004.0,300001 - 350000
17005.0,50001 - 100000
17006.0,50001 - 100000
17007.0,50001 - 100000
17008.0,150001 - 200000
17009.0,150001 - 200000
17010.0,150001 - 200000
17011.0,100001 - 150000
17012.0,50001 - 100000
17013.0,250001 - 300000
17014.0,200001 - 250000
17015.0,200001 - 250000
17016.0,150001 - 200000
17017.0,150001 - 200000
17018.0,100001 - 150000
17019.0,250001 - 300000
17020.0,400001 - 450000
17021.0,100001 - 150000
17022.0,50001 - 100000
17023.0,200001 - 250000
17024.0,100001 - 150000
17025.0,150001 - 200000
17026.0,450001 - 500000
17027.0,200001 - 250000
17028.0,350001 - 400000
17029.0,300001 - 350000
17030.0,400001 - 450000
17031.0,100001 - 150000
17032.0,150001 - 200000
17033.0,100001 - 150000
17034.0,100001 - 150000
17035.0,150001 - 200000
17036.0,150001 - 200000
17037.0,250001 - 300000
17038.0,150001 - 200000
17039.0,100001 - 150000
17040.0,200001 - 250000
17041.0,50001 - 100000
17042.0,250001 - 300000
17043.0,450001 - 500000
17044.0,50001 - 100000
17045.0,200001 - 250000
17046.0,200001 - 250000
17047.0,200001 - 250000
17048.0,100001 - 150000
17049.0,100001 - 150000
17050.0,150001 - 200000
17051.0,150001 - 200000
17052.0,14999 - 50000
17053.0,150001 - 200000
17054.0,150001 - 200000
17055.0,150001 - 200000
17056.0,150001 - 200000
17057.0,50001 - 100000
17058.0,150001 - 200000
17059.0,250001 - 300000
17060.0,150001 - 200000
17061.0,250001 - 300000
17062.0,200001 - 250000
17063.0,250001 - 300000
17064.0,50001 - 100000
17065.0,250001 - 300000
17066.0,250001 - 300000
17067.0,100001 - 150000
17068.0,200001 - 250000
17069.0,100001 - 150000
17070.0,150001 - 200000
17071.0,250001 - 300000
17072.0,100001 - 150000
17073.0,200001 - 250000
17074.0,300001 - 350000
17075.0,150001 - 200000
17076.0,150001 - 200000
17077.0,150001 - 200000
17078.0,200001 - 250000
17079.0,300001 - 350000
17080.0,400001 - 450000
17081.0,100001 - 150000
17082.0,200001 - 250000
17083.0,150001 - 200000
17084.0,100001 - 150000
17085.0,200001 - 250000
17086.0,100001 - 150000
17087.0,50001 - 100000
17088.0,150001 - 200000
17089.0,50001 - 100000
17090.0,200001 - 250000
17091.0,100001 - 150000
17092.0,200001 - 250000
17093.0,200001 - 250000
17094.0,200001 - 250000
17095.0,250001 - 300000
17096.0,50001 - 100000
17097.0,50001 - 100000
17098.0,100001 - 150000
17099.0,200001 - 250000
17100.0,150001 - 200000
17101.0,100001 - 150000
17102.0,100001 - 150000
17103.0,200001 - 250000
17104.0,250001 - 300000
17105.0,100001 - 150000
17106.0,50001 - 100000
17107.0,150001 - 200000
17108.0,250001 - 300000
17109.0,150001 - 200000
17110.0,300001 - 350000
17111.0,350001 - 400000
17112.0,50001 - 100000
17113.0,350001 - 400000
17114.0,250001 - 300000
17115.0,100001 - 150000
17116.0,300001 - 350000
17117.0,150001 - 200000
17118.0,450001 - 500000
17119.0,450001 - 500000
17120.0,250001 - 300000
17121.0,200001 - 250000
17122.0,100001 - 150000
17123.0,100001 - 150000
17124.0,200001 - 250000
17125.0,450001 - 500000
17126.0,100001 - 150000
17127.0,50001 - 100000
17128.0,300001 - 350000
17129.0,450001 - 500000
17130.0,150001 - 200000
17131.0,150001 - 200000
17132.0,150001 - 200000
17133.0,200001 - 250000
17134.0,50001 - 100000
17135.0,50001 - 100000
17136.0,450001 - 500000
17137.0,100001 - 150000
17138.0,150001 - 200000
17139.0,150001 - 200000
17140.0,400001 - 450000
17141.0,100001 - 150000
17142.0,100001 - 150000
17143.0,150001 - 200000
17144.0,50001 - 100000
17145.0,50001 - 100000
17146.0,100001 - 150000
17147.0,100001 - 150000
17148.0,50001 - 100000
17149.0,150001 - 200000
17150.0,50001 - 100000
17151.0,150001 - 200000
17152.0,250001 - 300000
17153.0,350001 - 400000
17154.0,150001 - 200000
17155.0,200001 - 250000
17156.0,150001 - 200000
17157.0,100001 - 150000
17158.0,250001 - 300000
17159.0,50001 - 100000
17160.0,300001 - 350000
17161.0,150001 - 200000
17162.0,450001 - 500000
17163.0,100001 - 150000
17164.0,50001 - 100000
17165.0,100001 - 150000
17166.0,200001 - 250000
17167.0,250001 - 300000
17168.0,100001 - 150000
17169.0,50001 - 100000
17170.0,100001 - 150000
17171.0,50001 - 100000
17172.0,150001 - 200000
17173.0,50001 - 100000
17174.0,50001 - 100000
17175.0,50001 - 100000
17176.0,150001 - 200000
17177.0,100001 - 150000
17178.0,250001 - 300000
17179.0,50001 - 100000
17180.0,150001 - 200000
17181.0,150001 - 200000
17182.0,150001 - 200000
17183.0,400001 - 450000
17184.0,200001 - 250000
17185.0,100001 - 150000
17186.0,450001 - 500000
17187.0,250001 - 300000
17188.0,100001 - 150000
17189.0,150001 - 200000
17190.0,200001 - 250000
17191.0,150001 - 200000
17192.0,150001 - 200000
17193.0,100001 - 150000
17194.0,150001 - 200000
17195.0,100001 - 150000
17196.0,100001 - 150000
17197.0,150001 - 200000
17198.0,150001 - 200000
17199.0,100001 - 150000
17200.0,100001 - 150000
17201.0,50001 - 100000
17202.0,50001 - 100000
17203.0,100001 - 150000
17204.0,200001 - 250000
17205.0,200001 - 250000
17206.0,50001 - 100000
17207.0,150001 - 200000
17208.0,150001 - 200000
17209.0,150001 - 200000
17210.0,100001 - 150000
17211.0,150001 - 200000
17212.0,250001 - 300000
17213.0,250001 - 300000
17214.0,14999 - 50000
17215.0,100001 - 150000
17216.0,400001 - 450000
17217.0,200001 - 250000
17218.0,50001 - 100000
17219.0,300001 - 350000
17220.0,450001 - 500000
17221.0,200001 - 250000
17222.0,50001 - 100000
17223.0,100001 - 150000
17224.0,300001 - 350000
17225.0,50001 - 100000
17226.0,200001 - 250000
17227.0,150001 - 200000
17228.0,150001 - 200000
17229.0,100001 - 150000
17230.0,250001 - 300000
17231.0,150001 - 200000
17232.0,200001 - 250000
17233.0,400001 - 450000
17234.0,150001 - 200000
17235.0,300001 - 350000
17236.0,50001 - 100000
17237.0,300001 - 350000
17238.0,200001 - 250000
17239.0,200001 - 250000
17240.0,150001 - 200000
17241.0,50001 - 100000
17242.0,250001 - 300000
17243.0,50001 - 100000
17244.0,50001 - 100000
17245.0,50001 - 100000
17246.0,300001 - 350000
17247.0,200001 - 250000
17248.0,100001 - 150000
17249.0,300001 - 350000
17250.0,100001 - 150000
17251.0,200001 - 250000
17252.0,200001 - 250000
17253.0,100001 - 150000
17254.0,50001 - 100000
17255.0,150001 - 200000
17256.0,350001 - 400000
17257.0,100001 - 150000
17258.0,300001 - 350000
17259.0,50001 - 100000
17260.0,400001 - 450000
17261.0,100001 - 150000
17262.0,100001 - 150000
17263.0,250001 - 300000
17264.0,400001 - 450000
17265.0,100001 - 150000
17266.0,100001 - 150000
17267.0,50001 - 100000
17268.0,50001 - 100000
17269.0,150001 - 200000
17270.0,14999 - 50000
17271.0,150001 - 200000
17272.0,250001 - 300000
17273.0,50001 - 100000
17274.0,200001 - 250000
17275.0,100001 - 150000
17276.0,150001 - 200000
17277.0,200001 - 250000
17278.0,50001 - 100000
17279.0,100001 - 150000
17280.0,150001 - 200000
17281.0,450001 - 500000
17282.0,200001 - 250000
17283.0,200001 - 250000
17284.0,450001 - 500000
17285.0,50001 - 100000
17286.0,100001 - 150000
17287.0,200001 - 250000
17288.0,150001 - 200000
17289.0,150001 - 200000
17290.0,50001 - 100000
17291.0,450001 - 500000
17292.0,150001 - 200000
17293.0,200001 - 250000
17294.0,150001 - 200000
17295.0,50001 - 100000
17296.0,200001 - 250000
17297.0,300001 - 350000
17298.0,100001 - 150000
17299.0,250001 - 300000
17300.0,150001 - 200000
17301.0,150001 - 200000
17302.0,50001 - 100000
17303.0,100001 - 150000
17304.0,150001 - 200000
17305.0,50001 - 100000
17306.0,150001 - 200000
17307.0,200001 - 250000
17308.0,300001 - 350000
17309.0,450001 - 500000
17310.0,250001 - 300000
17311.0,150001 - 200000
17312.0,200001 - 250000
17313.0,100001 - 150000
17314.0,150001 - 200000
17315.0,100001 - 150000
17316.0,250001 - 300000
17317.0,50001 - 100000
17318.0,300001 - 350000
17319.0,150001 - 200000
17320.0,250001 - 300000
17321.0,450001 - 500000
17322.0,200001 - 250000
17323.0,200001 - 250000
17324.0,300001 - 350000
17325.0,250001 - 300000
17326.0,150001 - 200000
17327.0,250001 - 300000
17328.0,150001 - 200000
17329.0,250001 - 300000
17330.0,150001 - 200000
17331.0,100001 - 150000
17332.0,50001 - 100000
17333.0,400001 - 450000
17334.0,50001 - 100000
17335.0,150001 - 200000
17336.0,50001 - 100000
17337.0,150001 - 200000
17338.0,450001 - 500000
17339.0,200001 - 250000
17340.0,100001 - 150000
17341.0,100001 - 150000
17342.0,100001 - 150000
17343.0,100001 - 150000
17344.0,50001 - 100000
17345.0,250001 - 300000
17346.0,150001 - 200000
17347.0,150001 - 200000
17348.0,50001 - 100000
17349.0,200001 - 250000
17350.0,200001 - 250000
17351.0,300001 - 350000
17352.0,250001 - 300000
17353.0,150001 - 200000
17354.0,50001 - 100000
17355.0,200001 - 250000
17356.0,450001 - 500000
17357.0,100001 - 150000
17358.0,200001 - 250000
17359.0,50001 - 100000
17360.0,150001 - 200000
17361.0,100001 - 150000
17362.0,450001 - 500000
17363.0,100001 - 150000
17364.0,150001 - 200000
17365.0,200001 - 250000
17366.0,150001 - 200000
17367.0,50001 - 100000
17368.0,250001 - 300000
17369.0,50001 - 100000
17370.0,100001 - 150000
17371.0,50001 - 100000
17372.0,150001 - 200000
17373.0,250001 - 300000
17374.0,250001 - 300000
17375.0,250001 - 300000
17376.0,100001 - 150000
17377.0,100001 - 150000
17378.0,200001 - 250000
17379.0,150001 - 200000
17380.0,150001 - 200000
17381.0,100001 - 150000
17382.0,300001 - 350000
17383.0,450001 - 500000
17384.0,100001 - 150000
17385.0,250001 - 300000
17386.0,150001 - 200000
17387.0,100001 - 150000
17388.0,50001 - 100000
17389.0,200001 - 250000
17390.0,450001 - 500000
17391.0,50001 - 100000
17392.0,150001 - 200000
17393.0,300001 - 350000
17394.0,150001 - 200000
17395.0,200001 - 250000
17396.0,100001 - 150000
17397.0,350001 - 400000
17398.0,350001 - 400000
17399.0,50001 - 100000
17400.0,350001 - 400000
17401.0,200001 - 250000
17402.0,300001 - 350000
17403.0,200001 - 250000
17404.0,50001 - 100000
17405.0,250001 - 300000
17406.0,150001 - 200000
17407.0,300001 - 350000
17408.0,50001 - 100000
17409.0,150001 - 200000
17410.0,250001 - 300000
17411.0,100001 - 150000
17412.0,250001 - 300000
17413.0,150001 - 200000
17414.0,200001 - 250000
17415.0,150001 - 200000
17416.0,200001 - 250000
17417.0,100001 - 150000
17418.0,150001 - 200000
17419.0,150001 - 200000
17420.0,150001 - 200000
17421.0,100001 - 150000
17422.0,100001 - 150000
17423.0,150001 - 200000
17424.0,250001 - 300000
17425.0,100001 - 150000
17426.0,250001 - 300000
17427.0,150001 - 200000
17428.0,350001 - 400000
17429.0,200001 - 250000
17430.0,100001 - 150000
17431.0,100001 - 150000
17432.0,50001 - 100000
17433.0,100001 - 150000
17434.0,200001 - 250000
17435.0,300001 - 350000
17436.0,50001 - 100000
17437.0,150001 - 200000
17438.0,50001 - 100000
17439.0,50001 - 100000
17440.0,250001 - 300000
17441.0,250001 - 300000
17442.0,250001 - 300000
17443.0,250001 - 300000
17444.0,100001 - 150000
17445.0,200001 - 250000
17446.0,450001 - 500000
17447.0,100001 - 150000
17448.0,200001 - 250000
17449.0,150001 - 200000
17450.0,300001 - 350000
17451.0,350001 - 400000
17452.0,400001 - 450000
17453.0,100001 - 150000
17454.0,250001 - 300000
17455.0,450001 - 500000
17456.0,100001 - 150000
17457.0,100001 - 150000
17458.0,250001 - 300000
17459.0,50001 - 100000
17460.0,300001 - 350000
17461.0,150001 - 200000
17462.0,300001 - 350000
17463.0,450001 - 500000
17464.0,150001 - 200000
17465.0,50001 - 100000
17466.0,350001 - 400000
17467.0,250001 - 300000
17468.0,50001 - 100000
17469.0,250001 - 300000
17470.0,100001 - 150000
17471.0,100001 - 150000
17472.0,250001 - 300000
17473.0,50001 - 100000
17474.0,100001 - 150000
17475.0,450001 - 500000
17476.0,100001 - 150000
17477.0,100001 - 150000
17478.0,100001 - 150000
17479.0,150001 - 200000
17480.0,14999 - 50000
17481.0,100001 - 150000
17482.0,450001 - 500000
17483.0,50001 - 100000
17484.0,50001 - 100000
17485.0,200001 - 250000
17486.0,200001 - 250000
17487.0,350001 - 400000
17488.0,150001 - 200000
17489.0,50001 - 100000
17490.0,200001 - 250000
17491.0,150001 - 200000
17492.0,150001 - 200000
17493.0,300001 - 350000
17494.0,200001 - 250000
17495.0,150001 - 200000
17496.0,50001 - 100000
17497.0,100001 - 150000
17498.0,100001 - 150000
17499.0,350001 - 400000
17500.0,200001 - 250000
17501.0,450001 - 500000
17502.0,50001 - 100000
17503.0,450001 - 500000
17504.0,100001 - 150000
17505.0,100001 - 150000
17506.0,100001 - 150000
17507.0,450001 - 500000
17508.0,50001 - 100000
17509.0,100001 - 150000
17510.0,350001 - 400000
17511.0,150001 - 200000
17512.0,150001 - 200000
17513.0,150001 - 200000
17514.0,150001 - 200000
17515.0,400001 - 450000
17516.0,200001 - 250000
17517.0,100001 - 150000
17518.0,150001 - 200000
17519.0,50001 - 100000
17520.0,50001 - 100000
17521.0,150001 - 200000
17522.0,100001 - 150000
17523.0,100001 - 150000
17524.0,250001 - 300000
17525.0,150001 - 200000
17526.0,100001 - 150000
17527.0,450001 - 500000
17528.0,250001 - 300000
17529.0,150001 - 200000
17530.0,100001 - 150000
17531.0,300001 - 350000
17532.0,450001 - 500000
17533.0,150001 - 200000
17534.0,50001 - 100000
17535.0,50001 - 100000
17536.0,150001 - 200000
17537.0,50001 - 100000
17538.0,200001 - 250000
17539.0,300001 - 350000
17540.0,300001 - 350000
17541.0,200001 - 250000
17542.0,400001 - 450000
17543.0,200001 - 250000
17544.0,100001 - 150000
17545.0,50001 - 100000
17546.0,300001 - 350000
17547.0,50001 - 100000
17548.0,150001 - 200000
17549.0,100001 - 150000
17550.0,250001 - 300000
17551.0,300001 - 350000
17552.0,250001 - 300000
17553.0,200001 - 250000
17554.0,350001 - 400000
17555.0,250001 - 300000
17556.0,450001 - 500000
17557.0,50001 - 100000
17558.0,150001 - 200000
17559.0,14999 - 50000
17560.0,200001 - 250000
17561.0,200001 - 250000
17562.0,50001 - 100000
17563.0,300001 - 350000
17564.0,50001 - 100000
17565.0,300001 - 350000
17566.0,150001 - 200000
17567.0,150001 - 200000
17568.0,150001 - 200000
17569.0,250001 - 300000
17570.0,100001 - 150000
17571.0,250001 - 300000
17572.0,250001 - 300000
17573.0,50001 - 100000
17574.0,100001 - 150000
17575.0,150001 - 200000
17576.0,100001 - 150000
17577.0,150001 - 200000
17578.0,200001 - 250000
17579.0,200001 - 250000
17580.0,50001 - 100000
17581.0,150001 - 200000
17582.0,450001 - 500000
17583.0,150001 - 200000
17584.0,200001 - 250000
17585.0,250001 - 300000
17586.0,50001 - 100000
17587.0,150001 - 200000
17588.0,50001 - 100000
17589.0,100001 - 150000
17590.0,350001 - 400000
17591.0,150001 - 200000
17592.0,150001 - 200000
17593.0,400001 - 450000
17594.0,150001 - 200000
17595.0,100001 - 150000
17596.0,50001 - 100000
17597.0,150001 - 200000
17598.0,250001 - 300000
17599.0,150001 - 200000
17600.0,100001 - 150000
17601.0,50001 - 100000
17602.0,150001 - 200000
17603.0,150001 - 200000
17604.0,400001 - 450000
17605.0,150001 - 200000
17606.0,200001 - 250000
17607.0,50001 - 100000
17608.0,50001 - 100000
17609.0,50001 - 100000
17610.0,100001 - 150000
17611.0,100001 - 150000
17612.0,150001 - 200000
17613.0,100001 - 150000
17614.0,50001 - 100000
17615.0,150001 - 200000
17616.0,50001 - 100000
17617.0,50001 - 100000
17618.0,150001 - 200000
17619.0,50001 - 100000
17620.0,250001 - 300000
17621.0,100001 - 150000
17622.0,250001 - 300000
17623.0,200001 - 250000
17624.0,250001 - 300000
17625.0,350001 - 400000
17626.0,300001 - 350000
17627.0,300001 - 350000
17628.0,100001 - 150000
17629.0,100001 - 150000
17630.0,100001 - 150000
17631.0,150001 - 200000
17632.0,100001 - 150000
17633.0,150001 - 200000
17634.0,300001 - 350000
17635.0,200001 - 250000
17636.0,400001 - 450000
17637.0,300001 - 350000
17638.0,150001 - 200000
17639.0,350001 - 400000
17640.0,300001 - 350000
17641.0,100001 - 150000
17642.0,150001 - 200000
17643.0,200001 - 250000
17644.0,200001 - 250000
17645.0,50001 - 100000
17646.0,350001 - 400000
17647.0,200001 - 250000
17648.0,100001 - 150000
17649.0,50001 - 100000
17650.0,150001 - 200000
17651.0,150001 - 200000
17652.0,50001 - 100000
17653.0,50001 - 100000
17654.0,100001 - 150000
17655.0,150001 - 200000
17656.0,50001 - 100000
17657.0,150001 - 200000
17658.0,200001 - 250000
17659.0,150001 - 200000
17660.0,100001 - 150000
17661.0,150001 - 200000
17662.0,200001 - 250000
17663.0,250001 - 300000
17664.0,100001 - 150000
17665.0,50001 - 100000
17666.0,150001 - 200000
17667.0,200001 - 250000
17668.0,200001 - 250000
17669.0,300001 - 350000
17670.0,250001 - 300000
17671.0,100001 - 150000
17672.0,50001 - 100000
17673.0,150001 - 200000
17674.0,350001 - 400000
17675.0,400001 - 450000
17676.0,250001 - 300000
17677.0,200001 - 250000
17678.0,400001 - 450000
17679.0,250001 - 300000
17680.0,50001 - 100000
17681.0,300001 - 350000
17682.0,100001 - 150000
17683.0,100001 - 150000
17684.0,100001 - 150000
17685.0,100001 - 150000
17686.0,200001 - 250000
17687.0,450001 - 500000
17688.0,50001 - 100000
17689.0,150001 - 200000
17690.0,150001 - 200000
17691.0,300001 - 350000
17692.0,150001 - 200000
17693.0,400001 - 450000
17694.0,150001 - 200000
17695.0,300001 - 350000
17696.0,300001 - 350000
17697.0,300001 - 350000
17698.0,150001 - 200000
17699.0,100001 - 150000
17700.0,300001 - 350000
17701.0,300001 - 350000
17702.0,150001 - 200000
17703.0,450001 - 500000
17704.0,300001 - 350000
17705.0,150001 - 200000
17706.0,50001 - 100000
17707.0,100001 - 150000
17708.0,150001 - 200000
17709.0,150001 - 200000
17710.0,200001 - 250000
17711.0,450001 - 500000
17712.0,50001 - 100000
17713.0,350001 - 400000
17714.0,100001 - 150000
17715.0,250001 - 300000
17716.0,100001 - 150000
17717.0,100001 - 150000
17718.0,150001 - 200000
17719.0,50001 - 100000
17720.0,400001 - 450000
17721.0,200001 - 250000
17722.0,50001 - 100000
17723.0,100001 - 150000
17724.0,200001 - 250000
17725.0,300001 - 350000
17726.0,200001 - 250000
17727.0,150001 - 200000
17728.0,100001 - 150000
17729.0,100001 - 150000
17730.0,50001 - 100000
17731.0,50001 - 100000
17732.0,200001 - 250000
17733.0,50001 - 100000
17734.0,150001 - 200000
17735.0,14999 - 50000
17736.0,150001 - 200000
17737.0,250001 - 300000
17738.0,100001 - 150000
17739.0,200001 - 250000
17740.0,50001 - 100000
17741.0,50001 - 100000
17742.0,450001 - 500000
17743.0,450001 - 500000
17744.0,300001 - 350000
17745.0,150001 - 200000
17746.0,150001 - 200000
17747.0,150001 - 200000
17748.0,450001 - 500000
17749.0,450001 - 500000
17750.0,50001 - 100000
17751.0,150001 - 200000
17752.0,100001 - 150000
17753.0,50001 - 100000
17754.0,200001 - 250000
17755.0,100001 - 150000
17756.0,200001 - 250000
17757.0,50001 - 100000
17758.0,200001 - 250000
17759.0,100001 - 150000
17760.0,100001 - 150000
17761.0,100001 - 150000
17762.0,100001 - 150000
17763.0,250001 - 300000
17764.0,250001 - 300000
17765.0,150001 - 200000
17766.0,50001 - 100000
17767.0,250001 - 300000
17768.0,50001 - 100000
17769.0,200001 - 250000
17770.0,14999 - 50000
17771.0,50001 - 100000
17772.0,250001 - 300000
17773.0,100001 - 150000
17774.0,50001 - 100000
17775.0,150001 - 200000
17776.0,50001 - 100000
17777.0,50001 - 100000
17778.0,200001 - 250000
17779.0,250001 - 300000
17780.0,50001 - 100000
17781.0,150001 - 200000
17782.0,450001 - 500000
17783.0,50001 - 100000
17784.0,100001 - 150000
17785.0,200001 - 250000
17786.0,14999 - 50000
17787.0,350001 - 400000
17788.0,150001 - 200000
17789.0,150001 - 200000
17790.0,100001 - 150000
17791.0,100001 - 150000
17792.0,250001 - 300000
17793.0,300001 - 350000
17794.0,150001 - 200000
17795.0,100001 - 150000
17796.0,300001 - 350000
17797.0,150001 - 200000
17798.0,200001 - 250000
17799.0,200001 - 250000
17800.0,450001 - 500000
17801.0,50001 - 100000
17802.0,50001 - 100000
17803.0,150001 - 200000
17804.0,150001 - 200000
17805.0,50001 - 100000
17806.0,150001 - 200000
17807.0,250001 - 300000
17808.0,250001 - 300000
17809.0,300001 - 350000
17810.0,200001 - 250000
17811.0,150001 - 200000
17812.0,250001 - 300000
17813.0,14999 - 50000
17814.0,50001 - 100000
17815.0,200001 - 250000
17816.0,250001 - 300000
17817.0,50001 - 100000
17818.0,450001 - 500000
17819.0,100001 - 150000
17820.0,250001 - 300000
17821.0,150001 - 200000
17822.0,300001 - 350000
17823.0,300001 - 350000
17824.0,250001 - 300000
17825.0,250001 - 300000
17826.0,100001 - 150000
17827.0,200001 - 250000
17828.0,250001 - 300000
17829.0,100001 - 150000
17830.0,150001 - 200000
17831.0,100001 - 150000
17832.0,250001 - 300000
17833.0,100001 - 150000
17834.0,100001 - 150000
17835.0,100001 - 150000
17836.0,300001 - 350000
17837.0,50001 - 100000
17838.0,150001 - 200000
17839.0,50001 - 100000
17840.0,200001 - 250000
17841.0,100001 - 150000
17842.0,150001 - 200000
17843.0,100001 - 150000
17844.0,150001 - 200000
17845.0,350001 - 400000
17846.0,50001 - 100000
17847.0,150001 - 200000
17848.0,50001 - 100000
17849.0,150001 - 200000
17850.0,100001 - 150000
17851.0,250001 - 300000
17852.0,350001 - 400000
17853.0,150001 - 200000
17854.0,350001 - 400000
17855.0,200001 - 250000
17856.0,150001 - 200000
17857.0,200001 - 250000
17858.0,150001 - 200000
17859.0,250001 - 300000
17860.0,200001 - 250000
17861.0,450001 - 500000
17862.0,100001 - 150000
17863.0,50001 - 100000
17864.0,450001 - 500000
17865.0,50001 - 100000
17866.0,50001 - 100000
17867.0,350001 - 400000
17868.0,100001 - 150000
17869.0,100001 - 150000
17870.0,50001 - 100000
17871.0,300001 - 350000
17872.0,200001 - 250000
17873.0,250001 - 300000
17874.0,450001 - 500000
17875.0,150001 - 200000
17876.0,250001 - 300000
17877.0,200001 - 250000
17878.0,350001 - 400000
17879.0,300001 - 350000
17880.0,450001 - 500000
17881.0,250001 - 300000
17882.0,150001 - 200000
17883.0,150001 - 200000
17884.0,100001 - 150000
17885.0,100001 - 150000
17886.0,300001 - 350000
17887.0,50001 - 100000
17888.0,150001 - 200000
17889.0,100001 - 150000
17890.0,450001 - 500000
17891.0,300001 - 350000
17892.0,100001 - 150000
17893.0,50001 - 100000
17894.0,100001 - 150000
17895.0,200001 - 250000
17896.0,350001 - 400000
17897.0,100001 - 150000
17898.0,200001 - 250000
17899.0,100001 - 150000
17900.0,350001 - 400000
17901.0,300001 - 350000
17902.0,150001 - 200000
17903.0,100001 - 150000
17904.0,50001 - 100000
17905.0,150001 - 200000
17906.0,100001 - 150000
17907.0,200001 - 250000
17908.0,350001 - 400000
17909.0,200001 - 250000
17910.0,14999 - 50000
17911.0,50001 - 100000
17912.0,50001 - 100000
17913.0,200001 - 250000
17914.0,100001 - 150000
17915.0,150001 - 200000
17916.0,200001 - 250000
17917.0,100001 - 150000
17918.0,300001 - 350000
17919.0,150001 - 200000
17920.0,150001 - 200000
17921.0,300001 - 350000
17922.0,100001 - 150000
17923.0,50001 - 100000
17924.0,200001 - 250000
17925.0,200001 - 250000
17926.0,50001 - 100000
17927.0,150001 - 200000
17928.0,100001 - 150000
17929.0,100001 - 150000
17930.0,200001 - 250000
17931.0,50001 - 100000
17932.0,150001 - 200000
17933.0,250001 - 300000
17934.0,200001 - 250000
17935.0,50001 - 100000
17936.0,300001 - 350000
17937.0,300001 - 350000
17938.0,50001 - 100000
17939.0,150001 - 200000
17940.0,450001 - 500000
17941.0,150001 - 200000
17942.0,400001 - 450000
17943.0,100001 - 150000
17944.0,50001 - 100000
17945.0,200001 - 250000
17946.0,50001 - 100000
17947.0,250001 - 300000
17948.0,100001 - 150000
17949.0,100001 - 150000
17950.0,150001 - 200000
17951.0,150001 - 200000
17952.0,200001 - 250000
17953.0,100001 - 150000
17954.0,150001 - 200000
17955.0,150001 - 200000
17956.0,100001 - 150000
17957.0,350001 - 400000
17958.0,50001 - 100000
17959.0,150001 - 200000
17960.0,200001 - 250000
17961.0,100001 - 150000
17962.0,50001 - 100000
17963.0,150001 - 200000
17964.0,150001 - 200000
17965.0,100001 - 150000
17966.0,150001 - 200000
17967.0,200001 - 250000
17968.0,100001 - 150000
17969.0,100001 - 150000
17970.0,250001 - 300000
17971.0,150001 - 200000
17972.0,50001 - 100000
17973.0,50001 - 100000
17974.0,150001 - 200000
17975.0,200001 - 250000
17976.0,150001 - 200000
17977.0,150001 - 200000
17978.0,100001 - 150000
17979.0,200001 - 250000
17980.0,200001 - 250000
17981.0,100001 - 150000
17982.0,100001 - 150000
17983.0,150001 - 200000
17984.0,250001 - 300000
17985.0,450001 - 500000
17986.0,200001 - 250000
17987.0,350001 - 400000
17988.0,150001 - 200000
17989.0,150001 - 200000
17990.0,200001 - 250000
17991.0,150001 - 200000
17992.0,150001 - 200000
17993.0,150001 - 200000
17994.0,100001 - 150000
17995.0,300001 - 350000
17996.0,100001 - 150000
17997.0,200001 - 250000
17998.0,450001 - 500000
17999.0,300001 - 350000
