id,median_house_value
18000.0,150001 - 200000
18001.0,450001 - 500000
18002.0,150001 - 200000
18003.0,50001 - 100000
18004.0,100001 - 150000
18005.0,200001 - 250000
18006.0,200001 - 250000
18007.0,14999 - 50000
18008.0,14999 - 50000
18009.0,250001 - 300000
18010.0,150001 - 200000
18011.0,250001 - 300000
18012.0,50001 - 100000
18013.0,250001 - 300000
18014.0,200001 - 250000
18015.0,300001 - 350000
18016.0,100001 - 150000
18017.0,200001 - 250000
18018.0,250001 - 300000
18019.0,150001 - 200000
18020.0,100001 - 150000
18021.0,150001 - 200000
18022.0,150001 - 200000
18023.0,150001 - 200000
18024.0,150001 - 200000
18025.0,300001 - 350000
18026.0,50001 - 100000
18027.0,100001 - 150000
18028.0,100001 - 150000
18029.0,100001 - 150000
18030.0,100001 - 150000
18031.0,50001 - 100000
18032.0,14999 - 50000
18033.0,50001 - 100000
18034.0,150001 - 200000
18035.0,50001 - 100000
18036.0,250001 - 300000
18037.0,150001 - 200000
18038.0,50001 - 100000
18039.0,250001 - 300000
18040.0,50001 - 100000
18041.0,150001 - 200000
18042.0,200001 - 250000
18043.0,50001 - 100000
18044.0,350001 - 400000
18045.0,250001 - 300000
18046.0,100001 - 150000
18047.0,150001 - 200000
18048.0,200001 - 250000
18049.0,100001 - 150000
18050.0,250001 - 300000
18051.0,300001 - 350000
18052.0,50001 - 100000
18053.0,450001 - 500000
18054.0,50001 - 100000
18055.0,50001 - 100000
18056.0,300001 - 350000
18057.0,350001 - 400000
18058.0,50001 - 100000
18059.0,200001 - 250000
18060.0,50001 - 100000
18061.0,250001 - 300000
18062.0,350001 - 400000
18063.0,50001 - 100000
18064.0,300001 - 350000
18065.0,150001 - 200000
18066.0,100001 - 150000
18067.0,50001 - 100000
18068.0,100001 - 150000
18069.0,50001 - 100000
18070.0,50001 - 100000
18071.0,250001 - 300000
18072.0,450001 - 500000
18073.0,100001 - 150000
18074.0,50001 - 100000
18075.0,150001 - 200000
18076.0,300001 - 350000
18077.0,100001 - 150000
18078.0,50001 - 100000
18079.0,50001 - 100000
18080.0,150001 - 200000
18081.0,450001 - 500000
18082.0,150001 - 200000
18083.0,150001 - 200000
18084.0,450001 - 500000
18085.0,150001 - 200000
18086.0,100001 - 150000
18087.0,200001 - 250000
18088.0,150001 - 200000
18089.0,50001 - 100000
18090.0,400001 - 450000
18091.0,400001 - 450000
18092.0,150001 - 200000
18093.0,100001 - 150000
18094.0,150001 - 200000
18095.0,150001 - 200000
18096.0,400001 - 450000
18097.0,14999 - 50000
18098.0,150001 - 200000
18099.0,450001 - 500000
18100.0,50001 - 100000
18101.0,150001 - 200000
18102.0,100001 - 150000
18103.0,150001 - 200000
18104.0,100001 - 150000
18105.0,150001 - 200000
18106.0,150001 - 200000
18107.0,250001 - 300000
18108.0,300001 - 350000
18109.0,250001 - 300000
18110.0,300001 - 350000
18111.0,200001 - 250000
18112.0,150001 - 200000
18113.0,100001 - 150000
18114.0,300001 - 350000
18115.0,350001 - 400000
18116.0,50001 - 100000
18117.0,100001 - 150000
18118.0,100001 - 150000
18119.0,50001 - 100000
18120.0,300001 - 350000
18121.0,150001 - 200000
18122.0,350001 - 400000
18123.0,250001 - 300000
18124.0,150001 - 200000
18125.0,200001 - 250000
18126.0,150001 - 200000
18127.0,100001 - 150000
18128.0,150001 - 200000
18129.0,150001 - 200000
18130.0,200001 - 250000
18131.0,200001 - 250000
18132.0,100001 - 150000
18133.0,50001 - 100000
18134.0,450001 - 500000
18135.0,200001 - 250000
18136.0,150001 - 200000
18137.0,350001 - 400000
18138.0,100001 - 150000
18139.0,100001 - 150000
18140.0,100001 - 150000
18141.0,200001 - 250000
18142.0,100001 - 150000
18143.0,350001 - 400000
18144.0,300001 - 350000
18145.0,200001 - 250000
18146.0,50001 - 100000
18147.0,200001 - 250000
18148.0,150001 - 200000
18149.0,200001 - 250000
18150.0,200001 - 250000
18151.0,400001 - 450000
18152.0,50001 - 100000
18153.0,50001 - 100000
18154.0,150001 - 200000
18155.0,200001 - 250000
18156.0,100001 - 150000
18157.0,50001 - 100000
18158.0,200001 - 250000
18159.0,250001 - 300000
18160.0,450001 - 500000
18161.0,250001 - 300000
18162.0,100001 - 150000
18163.0,300001 - 350000
18164.0,50001 - 100000
18165.0,150001 - 200000
18166.0,100001 - 150000
18167.0,300001 - 350000
18168.0,200001 - 250000
18169.0,50001 - 100000
18170.0,50001 - 100000
18171.0,300001 - 350000
18172.0,100001 - 150000
18173.0,150001 - 200000
18174.0,150001 - 200000
18175.0,200001 - 250000
18176.0,350001 - 400000
18177.0,50001 - 100000
18178.0,100001 - 150000
18179.0,150001 - 200000
18180.0,400001 - 450000
18181.0,100001 - 150000
18182.0,100001 - 150000
18183.0,250001 - 300000
18184.0,250001 - 300000
18185.0,300001 - 350000
18186.0,150001 - 200000
18187.0,450001 - 500000
18188.0,250001 - 300000
18189.0,50001 - 100000
18190.0,200001 - 250000
18191.0,100001 - 150000
18192.0,200001 - 250000
18193.0,450001 - 500000
18194.0,300001 - 350000
18195.0,50001 - 100000
18196.0,150001 - 200000
18197.0,100001 - 150000
18198.0,200001 - 250000
18199.0,50001 - 100000
18200.0,200001 - 250000
18201.0,250001 - 300000
18202.0,50001 - 100000
18203.0,50001 - 100000
18204.0,200001 - 250000
18205.0,250001 - 300000
18206.0,250001 - 300000
18207.0,100001 - 150000
18208.0,450001 - 500000
18209.0,150001 - 200000
18210.0,350001 - 400000
18211.0,450001 - 500000
18212.0,100001 - 150000
18213.0,50001 - 100000
18214.0,100001 - 150000
18215.0,50001 - 100000
18216.0,100001 - 150000
18217.0,150001 - 200000
18218.0,150001 - 200000
18219.0,100001 - 150000
18220.0,250001 - 300000
18221.0,200001 - 250000
18222.0,350001 - 400000
18223.0,450001 - 500000
18224.0,100001 - 150000
18225.0,50001 - 100000
18226.0,150001 - 200000
18227.0,100001 - 150000
18228.0,100001 - 150000
18229.0,200001 - 250000
18230.0,200001 - 250000
18231.0,50001 - 100000
18232.0,250001 - 300000
18233.0,100001 - 150000
18234.0,150001 - 200000
18235.0,150001 - 200000
18236.0,300001 - 350000
18237.0,150001 - 200000
18238.0,300001 - 350000
18239.0,150001 - 200000
18240.0,100001 - 150000
18241.0,50001 - 100000
18242.0,100001 - 150000
18243.0,150001 - 200000
18244.0,450001 - 500000
18245.0,350001 - 400000
18246.0,450001 - 500000
18247.0,150001 - 200000
18248.0,150001 - 200000
18249.0,350001 - 400000
18250.0,200001 - 250000
18251.0,150001 - 200000
18252.0,150001 - 200000
18253.0,200001 - 250000
18254.0,250001 - 300000
18255.0,150001 - 200000
18256.0,50001 - 100000
18257.0,50001 - 100000
18258.0,350001 - 400000
18259.0,100001 - 150000
18260.0,150001 - 200000
18261.0,250001 - 300000
18262.0,100001 - 150000
18263.0,200001 - 250000
18264.0,450001 - 500000
18265.0,150001 - 200000
18266.0,150001 - 200000
18267.0,250001 - 300000
18268.0,300001 - 350000
18269.0,200001 - 250000
18270.0,100001 - 150000
18271.0,100001 - 150000
18272.0,100001 - 150000
18273.0,200001 - 250000
18274.0,50001 - 100000
18275.0,200001 - 250000
18276.0,150001 - 200000
18277.0,200001 - 250000
18278.0,200001 - 250000
18279.0,300001 - 350000
18280.0,100001 - 150000
18281.0,250001 - 300000
18282.0,200001 - 250000
18283.0,100001 - 150000
18284.0,200001 - 250000
18285.0,50001 - 100000
18286.0,300001 - 350000
18287.0,200001 - 250000
18288.0,100001 - 150000
18289.0,250001 - 300000
18290.0,300001 - 350000
18291.0,200001 - 250000
18292.0,50001 - 100000
18293.0,100001 - 150000
18294.0,200001 - 250000
18295.0,100001 - 150000
18296.0,150001 - 200000
18297.0,100001 - 150000
18298.0,50001 - 100000
18299.0,250001 - 300000
18300.0,150001 - 200000
18301.0,50001 - 100000
18302.0,150001 - 200000
18303.0,150001 - 200000
18304.0,200001 - 250000
18305.0,50001 - 100000
18306.0,50001 - 100000
18307.0,200001 - 250000
18308.0,50001 - 100000
18309.0,200001 - 250000
18310.0,100001 - 150000
18311.0,50001 - 100000
18312.0,250001 - 300000
18313.0,150001 - 200000
18314.0,100001 - 150000
18315.0,400001 - 450000
18316.0,250001 - 300000
18317.0,250001 - 300000
18318.0,450001 - 500000
18319.0,50001 - 100000
18320.0,200001 - 250000
18321.0,200001 - 250000
18322.0,250001 - 300000
18323.0,450001 - 500000
18324.0,150001 - 200000
18325.0,250001 - 300000
18326.0,350001 - 400000
18327.0,150001 - 200000
18328.0,250001 - 300000
18329.0,100001 - 150000
18330.0,450001 - 500000
18331.0,200001 - 250000
18332.0,350001 - 400000
18333.0,250001 - 300000
18334.0,150001 - 200000
18335.0,300001 - 350000
18336.0,200001 - 250000
18337.0,200001 - 250000
18338.0,50001 - 100000
18339.0,100001 - 150000
18340.0,250001 - 300000
18341.0,200001 - 250000
18342.0,450001 - 500000
18343.0,150001 - 200000
18344.0,200001 - 250000
18345.0,200001 - 250000
18346.0,50001 - 100000
18347.0,350001 - 400000
18348.0,100001 - 150000
18349.0,50001 - 100000
18350.0,200001 - 250000
18351.0,50001 - 100000
18352.0,200001 - 250000
18353.0,250001 - 300000
18354.0,200001 - 250000
18355.0,100001 - 150000
18356.0,100001 - 150000
18357.0,450001 - 500000
18358.0,100001 - 150000
18359.0,50001 - 100000
18360.0,350001 - 400000
18361.0,100001 - 150000
18362.0,200001 - 250000
18363.0,250001 - 300000
18364.0,100001 - 150000
18365.0,50001 - 100000
18366.0,100001 - 150000
18367.0,100001 - 150000
18368.0,450001 - 500000
18369.0,50001 - 100000
18370.0,200001 - 250000
18371.0,200001 - 250000
18372.0,350001 - 400000
18373.0,250001 - 300000
18374.0,250001 - 300000
18375.0,100001 - 150000
18376.0,150001 - 200000
18377.0,250001 - 300000
18378.0,150001 - 200000
18379.0,250001 - 300000
18380.0,250001 - 300000
18381.0,200001 - 250000
18382.0,100001 - 150000
18383.0,200001 - 250000
18384.0,450001 - 500000
18385.0,150001 - 200000
18386.0,200001 - 250000
18387.0,100001 - 150000
18388.0,450001 - 500000
18389.0,150001 - 200000
18390.0,150001 - 200000
18391.0,150001 - 200000
18392.0,200001 - 250000
18393.0,150001 - 200000
18394.0,200001 - 250000
18395.0,100001 - 150000
18396.0,200001 - 250000
18397.0,250001 - 300000
18398.0,100001 - 150000
18399.0,150001 - 200000
18400.0,200001 - 250000
18401.0,450001 - 500000
18402.0,150001 - 200000
18403.0,100001 - 150000
18404.0,50001 - 100000
18405.0,150001 - 200000
18406.0,100001 - 150000
18407.0,150001 - 200000
18408.0,50001 - 100000
18409.0,50001 - 100000
18410.0,150001 - 200000
18411.0,150001 - 200000
18412.0,150001 - 200000
18413.0,200001 - 250000
18414.0,150001 - 200000
18415.0,150001 - 200000
18416.0,100001 - 150000
18417.0,250001 - 300000
18418.0,200001 - 250000
18419.0,250001 - 300000
18420.0,200001 - 250000
18421.0,250001 - 300000
18422.0,150001 - 200000
18423.0,100001 - 150000
18424.0,400001 - 450000
18425.0,100001 - 150000
18426.0,250001 - 300000
18427.0,400001 - 450000
18428.0,50001 - 100000
18429.0,150001 - 200000
18430.0,150001 - 200000
18431.0,50001 - 100000
18432.0,200001 - 250000
18433.0,200001 - 250000
18434.0,250001 - 300000
18435.0,100001 - 150000
18436.0,100001 - 150000
18437.0,250001 - 300000
18438.0,200001 - 250000
18439.0,100001 - 150000
18440.0,150001 - 200000
18441.0,50001 - 100000
18442.0,100001 - 150000
18443.0,200001 - 250000
18444.0,200001 - 250000
18445.0,50001 - 100000
18446.0,50001 - 100000
18447.0,100001 - 150000
18448.0,150001 - 200000
18449.0,100001 - 150000
18450.0,450001 - 500000
18451.0,150001 - 200000
18452.0,150001 - 200000
18453.0,50001 - 100000
18454.0,150001 - 200000
18455.0,100001 - 150000
18456.0,50001 - 100000
18457.0,50001 - 100000
18458.0,150001 - 200000
18459.0,50001 - 100000
18460.0,350001 - 400000
18461.0,100001 - 150000
18462.0,250001 - 300000
18463.0,300001 - 350000
18464.0,50001 - 100000
18465.0,150001 - 200000
18466.0,200001 - 250000
18467.0,250001 - 300000
18468.0,200001 - 250000
18469.0,250001 - 300000
18470.0,200001 - 250000
18471.0,150001 - 200000
18472.0,150001 - 200000
18473.0,150001 - 200000
18474.0,450001 - 500000
18475.0,50001 - 100000
18476.0,450001 - 500000
18477.0,50001 - 100000
18478.0,100001 - 150000
18479.0,400001 - 450000
18480.0,300001 - 350000
18481.0,150001 - 200000
18482.0,150001 - 200000
18483.0,250001 - 300000
18484.0,300001 - 350000
18485.0,200001 - 250000
18486.0,100001 - 150000
18487.0,150001 - 200000
18488.0,250001 - 300000
18489.0,200001 - 250000
18490.0,150001 - 200000
18491.0,50001 - 100000
18492.0,100001 - 150000
18493.0,400001 - 450000
18494.0,50001 - 100000
18495.0,100001 - 150000
18496.0,300001 - 350000
18497.0,100001 - 150000
18498.0,350001 - 400000
18499.0,50001 - 100000
18500.0,100001 - 150000
18501.0,50001 - 100000
18502.0,250001 - 300000
18503.0,100001 - 150000
18504.0,100001 - 150000
18505.0,200001 - 250000
18506.0,200001 - 250000
18507.0,100001 - 150000
18508.0,200001 - 250000
18509.0,100001 - 150000
18510.0,50001 - 100000
18511.0,450001 - 500000
18512.0,300001 - 350000
18513.0,150001 - 200000
18514.0,350001 - 400000
18515.0,50001 - 100000
18516.0,50001 - 100000
18517.0,300001 - 350000
18518.0,150001 - 200000
18519.0,250001 - 300000
18520.0,150001 - 200000
18521.0,350001 - 400000
18522.0,100001 - 150000
18523.0,250001 - 300000
18524.0,50001 - 100000
18525.0,100001 - 150000
18526.0,400001 - 450000
18527.0,100001 - 150000
18528.0,300001 - 350000
18529.0,150001 - 200000
18530.0,100001 - 150000
18531.0,100001 - 150000
18532.0,100001 - 150000
18533.0,50001 - 100000
18534.0,50001 - 100000
18535.0,150001 - 200000
18536.0,200001 - 250000
18537.0,150001 - 200000
18538.0,50001 - 100000
18539.0,200001 - 250000
18540.0,50001 - 100000
18541.0,150001 - 200000
18542.0,150001 - 200000
18543.0,150001 - 200000
18544.0,350001 - 400000
18545.0,150001 - 200000
18546.0,300001 - 350000
18547.0,150001 - 200000
18548.0,200001 - 250000
18549.0,200001 - 250000
18550.0,300001 - 350000
18551.0,200001 - 250000
18552.0,250001 - 300000
18553.0,100001 - 150000
18554.0,100001 - 150000
18555.0,150001 - 200000
18556.0,50001 - 100000
18557.0,450001 - 500000
18558.0,150001 - 200000
18559.0,450001 - 500000
18560.0,250001 - 300000
18561.0,100001 - 150000
18562.0,450001 - 500000
18563.0,200001 - 250000
18564.0,450001 - 500000
18565.0,50001 - 100000
18566.0,450001 - 500000
18567.0,100001 - 150000
18568.0,150001 - 200000
18569.0,150001 - 200000
18570.0,100001 - 150000
18571.0,150001 - 200000
18572.0,150001 - 200000
18573.0,100001 - 150000
18574.0,100001 - 150000
18575.0,100001 - 150000
18576.0,50001 - 100000
18577.0,200001 - 250000
18578.0,150001 - 200000
18579.0,200001 - 250000
18580.0,400001 - 450000
18581.0,100001 - 150000
18582.0,150001 - 200000
18583.0,250001 - 300000
18584.0,50001 - 100000
18585.0,200001 - 250000
18586.0,200001 - 250000
18587.0,350001 - 400000
18588.0,150001 - 200000
18589.0,350001 - 400000
18590.0,100001 - 150000
18591.0,300001 - 350000
18592.0,50001 - 100000
18593.0,400001 - 450000
18594.0,100001 - 150000
18595.0,400001 - 450000
18596.0,50001 - 100000
18597.0,250001 - 300000
18598.0,150001 - 200000
18599.0,200001 - 250000
18600.0,50001 - 100000
18601.0,450001 - 500000
18602.0,50001 - 100000
18603.0,250001 - 300000
18604.0,200001 - 250000
18605.0,300001 - 350000
18606.0,150001 - 200000
18607.0,150001 - 200000
18608.0,50001 - 100000
18609.0,300001 - 350000
18610.0,100001 - 150000
18611.0,450001 - 500000
18612.0,50001 - 100000
18613.0,250001 - 300000
18614.0,250001 - 300000
18615.0,100001 - 150000
18616.0,250001 - 300000
18617.0,100001 - 150000
18618.0,100001 - 150000
18619.0,200001 - 250000
18620.0,150001 - 200000
18621.0,50001 - 100000
18622.0,150001 - 200000
18623.0,50001 - 100000
18624.0,250001 - 300000
18625.0,50001 - 100000
18626.0,450001 - 500000
18627.0,100001 - 150000
18628.0,350001 - 400000
18629.0,100001 - 150000
18630.0,150001 - 200000
18631.0,450001 - 500000
18632.0,150001 - 200000
18633.0,200001 - 250000
18634.0,50001 - 100000
18635.0,150001 - 200000
18636.0,350001 - 400000
18637.0,50001 - 100000
18638.0,100001 - 150000
18639.0,150001 - 200000
18640.0,100001 - 150000
18641.0,350001 - 400000
18642.0,100001 - 150000
18643.0,200001 - 250000
18644.0,300001 - 350000
18645.0,200001 - 250000
18646.0,350001 - 400000
18647.0,100001 - 150000
18648.0,50001 - 100000
18649.0,100001 - 150000
18650.0,100001 - 150000
18651.0,200001 - 250000
18652.0,200001 - 250000
18653.0,350001 - 400000
18654.0,250001 - 300000
18655.0,250001 - 300000
18656.0,300001 - 350000
18657.0,200001 - 250000
18658.0,150001 - 200000
18659.0,50001 - 100000
18660.0,100001 - 150000
18661.0,150001 - 200000
18662.0,50001 - 100000
18663.0,150001 - 200000
18664.0,100001 - 150000
18665.0,100001 - 150000
18666.0,100001 - 150000
18667.0,100001 - 150000
18668.0,100001 - 150000
18669.0,250001 - 300000
18670.0,100001 - 150000
18671.0,400001 - 450000
18672.0,150001 - 200000
18673.0,100001 - 150000
18674.0,50001 - 100000
18675.0,250001 - 300000
18676.0,200001 - 250000
18677.0,50001 - 100000
18678.0,300001 - 350000
18679.0,250001 - 300000
18680.0,200001 - 250000
18681.0,100001 - 150000
18682.0,100001 - 150000
18683.0,100001 - 150000
18684.0,50001 - 100000
18685.0,200001 - 250000
18686.0,250001 - 300000
18687.0,100001 - 150000
18688.0,150001 - 200000
18689.0,100001 - 150000
18690.0,200001 - 250000
18691.0,50001 - 100000
18692.0,50001 - 100000
18693.0,50001 - 100000
18694.0,150001 - 200000
18695.0,50001 - 100000
18696.0,100001 - 150000
18697.0,50001 - 100000
18698.0,200001 - 250000
18699.0,300001 - 350000
18700.0,100001 - 150000
18701.0,350001 - 400000
18702.0,100001 - 150000
18703.0,100001 - 150000
18704.0,150001 - 200000
18705.0,50001 - 100000
18706.0,200001 - 250000
18707.0,200001 - 250000
18708.0,150001 - 200000
18709.0,50001 - 100000
18710.0,100001 - 150000
18711.0,400001 - 450000
18712.0,200001 - 250000
18713.0,50001 - 100000
18714.0,300001 - 350000
18715.0,200001 - 250000
18716.0,150001 - 200000
18717.0,200001 - 250000
18718.0,450001 - 500000
18719.0,150001 - 200000
18720.0,300001 - 350000
18721.0,150001 - 200000
18722.0,150001 - 200000
18723.0,250001 - 300000
18724.0,200001 - 250000
18725.0,100001 - 150000
18726.0,300001 - 350000
18727.0,100001 - 150000
18728.0,150001 - 200000
18729.0,400001 - 450000
18730.0,200001 - 250000
18731.0,300001 - 350000
18732.0,50001 - 100000
18733.0,150001 - 200000
18734.0,150001 - 200000
18735.0,200001 - 250000
18736.0,100001 - 150000
18737.0,50001 - 100000
18738.0,200001 - 250000
18739.0,250001 - 300000
18740.0,300001 - 350000
18741.0,50001 - 100000
18742.0,50001 - 100000
18743.0,100001 - 150000
18744.0,100001 - 150000
18745.0,50001 - 100000
18746.0,400001 - 450000
18747.0,150001 - 200000
18748.0,100001 - 150000
18749.0,350001 - 400000
18750.0,100001 - 150000
18751.0,200001 - 250000
18752.0,250001 - 300000
18753.0,350001 - 400000
18754.0,50001 - 100000
18755.0,350001 - 400000
18756.0,200001 - 250000
18757.0,200001 - 250000
18758.0,450001 - 500000
18759.0,150001 - 200000
18760.0,100001 - 150000
18761.0,250001 - 300000
18762.0,100001 - 150000
18763.0,250001 - 300000
18764.0,400001 - 450000
18765.0,350001 - 400000
18766.0,50001 - 100000
18767.0,150001 - 200000
18768.0,150001 - 200000
18769.0,150001 - 200000
18770.0,300001 - 350000
18771.0,200001 - 250000
18772.0,250001 - 300000
18773.0,50001 - 100000
18774.0,50001 - 100000
18775.0,150001 - 200000
18776.0,200001 - 250000
18777.0,100001 - 150000
18778.0,450001 - 500000
18779.0,450001 - 500000
18780.0,150001 - 200000
18781.0,250001 - 300000
18782.0,150001 - 200000
18783.0,100001 - 150000
18784.0,300001 - 350000
18785.0,50001 - 100000
18786.0,450001 - 500000
18787.0,150001 - 200000
18788.0,350001 - 400000
18789.0,200001 - 250000
18790.0,200001 - 250000
18791.0,100001 - 150000
18792.0,100001 - 150000
18793.0,200001 - 250000
18794.0,150001 - 200000
18795.0,200001 - 250000
18796.0,350001 - 400000
18797.0,100001 - 150000
18798.0,100001 - 150000
18799.0,100001 - 150000
18800.0,50001 - 100000
18801.0,50001 - 100000
18802.0,100001 - 150000
18803.0,200001 - 250000
18804.0,150001 - 200000
18805.0,100001 - 150000
18806.0,200001 - 250000
18807.0,200001 - 250000
18808.0,150001 - 200000
18809.0,300001 - 350000
18810.0,250001 - 300000
18811.0,150001 - 200000
18812.0,50001 - 100000
18813.0,350001 - 400000
18814.0,150001 - 200000
18815.0,450001 - 500000
18816.0,150001 - 200000
18817.0,150001 - 200000
18818.0,150001 - 200000
18819.0,200001 - 250000
18820.0,50001 - 100000
18821.0,300001 - 350000
18822.0,450001 - 500000
18823.0,150001 - 200000
18824.0,150001 - 200000
18825.0,350001 - 400000
18826.0,150001 - 200000
18827.0,100001 - 150000
18828.0,50001 - 100000
18829.0,100001 - 150000
18830.0,100001 - 150000
18831.0,200001 - 250000
18832.0,300001 - 350000
18833.0,400001 - 450000
18834.0,50001 - 100000
18835.0,150001 - 200000
18836.0,300001 - 350000
18837.0,250001 - 300000
18838.0,50001 - 100000
18839.0,100001 - 150000
18840.0,100001 - 150000
18841.0,150001 - 200000
18842.0,50001 - 100000
18843.0,150001 - 200000
18844.0,250001 - 300000
18845.0,50001 - 100000
18846.0,300001 - 350000
18847.0,100001 - 150000
18848.0,250001 - 300000
18849.0,300001 - 350000
18850.0,50001 - 100000
18851.0,150001 - 200000
18852.0,200001 - 250000
18853.0,150001 - 200000
18854.0,50001 - 100000
18855.0,200001 - 250000
18856.0,200001 - 250000
18857.0,200001 - 250000
18858.0,300001 - 350000
18859.0,100001 - 150000
18860.0,50001 - 100000
18861.0,350001 - 400000
18862.0,150001 - 200000
18863.0,250001 - 300000
18864.0,350001 - 400000
18865.0,100001 - 150000
18866.0,350001 - 400000
18867.0,250001 - 300000
18868.0,100001 - 150000
18869.0,200001 - 250000
18870.0,100001 - 150000
18871.0,50001 - 100000
18872.0,50001 - 100000
18873.0,450001 - 500000
18874.0,200001 - 250000
18875.0,150001 - 200000
18876.0,200001 - 250000
18877.0,50001 - 100000
18878.0,400001 - 450000
18879.0,250001 - 300000
18880.0,150001 - 200000
18881.0,450001 - 500000
18882.0,250001 - 300000
18883.0,100001 - 150000
18884.0,200001 - 250000
18885.0,50001 - 100000
18886.0,100001 - 150000
18887.0,450001 - 500000
18888.0,450001 - 500000
18889.0,50001 - 100000
18890.0,150001 - 200000
18891.0,200001 - 250000
18892.0,300001 - 350000
18893.0,150001 - 200000
18894.0,150001 - 200000
18895.0,150001 - 200000
18896.0,100001 - 150000
18897.0,50001 - 100000
18898.0,250001 - 300000
18899.0,400001 - 450000
18900.0,350001 - 400000
18901.0,50001 - 100000
18902.0,200001 - 250000
18903.0,100001 - 150000
18904.0,50001 - 100000
18905.0,450001 - 500000
18906.0,50001 - 100000
18907.0,150001 - 200000
18908.0,100001 - 150000
18909.0,200001 - 250000
18910.0,150001 - 200000
18911.0,150001 - 200000
18912.0,200001 - 250000
18913.0,300001 - 350000
18914.0,300001 - 350000
18915.0,100001 - 150000
18916.0,50001 - 100000
18917.0,150001 - 200000
18918.0,150001 - 200000
18919.0,50001 - 100000
18920.0,300001 - 350000
18921.0,50001 - 100000
18922.0,350001 - 400000
18923.0,250001 - 300000
18924.0,150001 - 200000
18925.0,200001 - 250000
18926.0,300001 - 350000
18927.0,100001 - 150000
18928.0,100001 - 150000
18929.0,350001 - 400000
18930.0,150001 - 200000
18931.0,150001 - 200000
18932.0,50001 - 100000
18933.0,300001 - 350000
18934.0,50001 - 100000
18935.0,350001 - 400000
18936.0,100001 - 150000
18937.0,300001 - 350000
18938.0,250001 - 300000
18939.0,100001 - 150000
18940.0,150001 - 200000
18941.0,150001 - 200000
18942.0,100001 - 150000
18943.0,150001 - 200000
18944.0,250001 - 300000
18945.0,150001 - 200000
18946.0,100001 - 150000
18947.0,150001 - 200000
18948.0,300001 - 350000
18949.0,400001 - 450000
18950.0,150001 - 200000
18951.0,150001 - 200000
18952.0,450001 - 500000
18953.0,450001 - 500000
18954.0,200001 - 250000
18955.0,450001 - 500000
18956.0,100001 - 150000
18957.0,100001 - 150000
18958.0,150001 - 200000
18959.0,100001 - 150000
18960.0,100001 - 150000
18961.0,100001 - 150000
18962.0,200001 - 250000
18963.0,250001 - 300000
18964.0,100001 - 150000
18965.0,150001 - 200000
18966.0,50001 - 100000
18967.0,200001 - 250000
18968.0,200001 - 250000
18969.0,250001 - 300000
18970.0,200001 - 250000
18971.0,100001 - 150000
18972.0,50001 - 100000
18973.0,150001 - 200000
18974.0,150001 - 200000
18975.0,100001 - 150000
18976.0,300001 - 350000
18977.0,300001 - 350000
18978.0,100001 - 150000
18979.0,150001 - 200000
18980.0,150001 - 200000
18981.0,450001 - 500000
18982.0,100001 - 150000
18983.0,250001 - 300000
18984.0,100001 - 150000
18985.0,150001 - 200000
18986.0,300001 - 350000
18987.0,350001 - 400000
18988.0,150001 - 200000
18989.0,250001 - 300000
18990.0,100001 - 150000
18991.0,150001 - 200000
18992.0,450001 - 500000
18993.0,200001 - 250000
18994.0,450001 - 500000
18995.0,150001 - 200000
18996.0,250001 - 300000
18997.0,350001 - 400000
18998.0,250001 - 300000
